附件4B：2026—2030年全系统年度约束,,,
年份,基准供电碳强度调整系数(相对2025),消费侧碳排放上限(ktCO2),最低供能满足率
2026,0.94999999999999996,35200,0.96999999999999997
2027,0.89500000000000002,34250,0.96999999999999997
2028,0.83999999999999997,33450,0.96999999999999997
2029,0.78000000000000003,32400,0.96999999999999997
2030,0.71999999999999997,31200,0.96999999999999997
,,,
说明1：基准供电碳强度调整系数反映不计附件5候选项目时，规划期内电源结构自然清洁化和基准送端电力低碳化带来的系统性下降。,,,
说明2：问题三中，可将问题二得到的2025年区域终端用电碳强度乘以该系数，作为相应年份的基准碳强度，再叠加附件5项目效益。,,,
说明3：年度投资上限统一放在附件5C中，避免附件4与附件5出现重复或冲突。,,,
说明4：若无候选项目影响，2026—2030年各区域基础供给能力以附件3中的2025年电源规模为基准；省外输入及区域间输电能力分别受附件3相应容量约束。参赛者可根据需要对基础供给进行合理调整，但应说明依据。,,,
说明5：规划期内各区域月度负荷形态和区域间基础电力流动结构可参考2025年月度数据，并结合各区域年度需求增长进行合理外推。,,,
